***** N = 1 *****
N       RTT           SRTT          RTT_VAR       RTO           
33      500.000000    267.719137    166.521761    933.806183    
34      125.000000    249.879245    156.111132    874.323774    
35      125.000000    234.269339    144.400684    811.872075    
36      500.000000    267.485672    166.429095    933.202052    
37      125.000000    249.674963    155.990562    873.637211    
38      125.000000    234.090592    144.265570    811.152871    
39      500.000000    267.329268    166.366860    932.796709    
40      125.000000    249.538110    155.909673    873.176800    
41      125.000000    233.970846    144.174966    810.670710    
42      500.000000    267.224490    166.325102    932.524898    
43      125.000000    249.446429    155.855434    872.868164    
44      125.000000    233.890625    144.114232    810.347552    
45      500.000000    267.154297    166.297099    932.342695    
46      125.000000    249.385010    155.819077    872.661318    
47      125.000000    233.836884    144.073529    810.130999    
48      500.000000    267.107273    166.278328    932.220586    
49      125.000000    249.343864    155.794712    872.522713    
50      125.000000    233.800881    144.046254    809.985899    
51      500.000000    267.075771    166.265748    932.138763    
52      125.000000    249.316300    155.778386    872.429844    
53      125.000000    233.776762    144.027980    809.888682    
54      500.000000    267.054667    166.257318    932.083940    
55      125.000000    249.297834    155.767447    872.367622    
56      125.000000    233.760604    144.015736    809.823550    
57      500.000000    267.040529    166.251670    932.047209    
58      125.000000    249.285463    155.760118    872.325936    
59      125.000000    233.749780    144.007534    809.779915    
60      500.000000    267.031057    166.247886    932.022601    
61      125.000000    249.277175    155.755208    872.298008    
62      125.000000    233.742528    144.002038    809.750681    
63      500.000000    267.024712    166.245351    932.006115    
64      125.000000    249.271623    155.751919    872.279298    
65      125.000000    233.737670    143.998357    809.731097    
66      500.000000    267.020462    166.243652    931.995070    
67      125.000000    249.267904    155.749715    872.266764    
68      125.000000    233.734416    143.995890    809.717977    
69      500.000000    267.017614    166.242514    931.987671    
70      125.000000    249.265412    155.748239    872.258367    
71      125.000000    233.732236    143.994238    809.709187    
72      500.000000    267.015706    166.241752    931.982714    
73      125.000000    249.263743    155.747250    872.252742    
74      125.000000    233.730775    143.993131    809.703299    
75      500.000000    267.014428    166.241241    931.979393    
76      125.000000    249.262625    155.746587    872.248973    
77      125.000000    233.729797    143.992389    809.699354    
78      500.000000    267.013572    166.240899    931.977168    
79      125.000000    249.261875    155.746143    872.246448    
80      125.000000    233.729141    143.991893    809.696712    
81      500.000000    267.012998    166.240670    931.975678    
82      125.000000    249.261374    155.745846    872.244757    
83      125.000000    233.728702    143.991560    809.694941    
84      500.000000    267.012614    166.240516    931.974680    
85      125.000000    249.261037    155.745647    872.243624    
86      125.000000    233.728408    143.991337    809.693755    
87      500.000000    267.012357    166.240413    931.974011    
88      125.000000    249.260812    155.745513    872.242865    
89      125.000000    233.728211    143.991188    809.692961    
90      500.000000    267.012184    166.240345    931.973563    
91      125.000000    249.260661    155.745424    872.242356    
92      125.000000    233.728079    143.991087    809.692428    
93      500.000000    267.012069    166.240298    931.973262    
94      125.000000    249.260560    155.745364    872.242016    
95      125.000000    233.727990    143.991020    809.692072    
96      500.000000    267.011991    166.240267    931.973061    
97      125.000000    249.260492    155.745324    872.241787    
98      125.000000    233.727931    143.990976    809.691833    
99      500.000000    267.011940    166.240247    931.972927    
100     125.000000    249.260447    155.745297    872.241634    
101     125.000000    233.727891    143.990945    809.691673    
102     500.000000    267.011905    166.240233    931.972836    
103     125.000000    249.260417    155.745279    872.241532    
104     125.000000    233.727865    143.990925    809.691566    
105     500.000000    267.011882    166.240224    931.972776    
106     125.000000    249.260396    155.745267    872.241463    
107     125.000000    233.727847    143.990912    809.691494    
108     500.000000    267.011866    166.240217    931.972735    
109     125.000000    249.260383    155.745259    872.241417    
110     125.000000    233.727835    143.990903    809.691446    
111     500.000000    267.011856    166.240213    931.972708    
112     125.000000    249.260374    155.745253    872.241387    
113     125.000000    233.727827    143.990897    809.691414    
114     500.000000    267.011849    166.240210    931.972690    
115     125.000000    249.260367    155.745250    872.241366    
116     125.000000    233.727822    143.990893    809.691392    
117     500.000000    267.011844    166.240209    931.972678    
118     125.000000    249.260363    155.745247    872.241352    
119     125.000000    233.727818    143.990890    809.691378    
***** N = 4 *****
N       RTT           SRTT          RTT_VAR       RTO           
0       500.000000    267.011841    166.240207    931.972670    
1       125.000000    249.260361    155.745246    872.241343    
2       125.000000    233.727816    143.990888    809.691368    
3       125.000000    220.136839    131.777376    747.246341    
4       500.000000    255.119734    160.053098    895.332127    
5       125.000000    238.854767    148.503516    832.868829    
6       125.000000    224.622921    136.283367    769.756389    
7       125.000000    212.170056    124.005039    708.190213    
8       500.000000    248.148799    155.966580    872.015118    
9       125.000000    232.755199    143.913735    808.410137    
10      125.000000    219.285799    131.506751    745.312802    
11      125.000000    207.500074    119.255082    684.520401    
12      500.000000    244.062565    153.425670    857.765245    
13      125.000000    229.179744    141.114189    793.636499    
14      125.000000    216.157276    128.624961    730.657118    
15      125.000000    204.762617    116.409375    670.400115    
16      500.000000    241.667290    151.890209    849.228124    
17      125.000000    227.083879    139.438626    784.838383    
18      125.000000    214.323394    126.909818    721.962665    
19      125.000000    203.157969    114.721856    662.045393    
20      500.000000    240.263223    150.975586    844.165567    
21      125.000000    225.855320    138.445520    779.637399    
22      125.000000    213.248405    125.896241    716.833370    
23      125.000000    202.217355    113.726519    657.123432    
24      500.000000    239.440185    150.434843    841.179558    
25      125.000000    225.135162    137.859923    776.574854    
26      125.000000    212.618267    125.299509    713.816303    
27      125.000000    201.665984    113.141128    654.230494    
28      500.000000    238.957736    150.116412    839.423383    
29      125.000000    224.713019    137.515564    774.775273    
30      125.000000    212.248891    124.948895    712.044473    
31      125.000000    201.342780    112.797367    652.532246    
32      500.000000    238.674932    149.929292    838.392100    
33      125.000000    224.465566    137.313360    773.719007    
34      125.000000    212.032370    124.743113    711.004821    
35      125.000000    201.153324    112.595666    651.535986    
36      500.000000    238.509158    149.819460    837.786997    
37      125.000000    224.320514    137.194723    773.099406    
38      125.000000    211.905449    124.622405    710.395068    
39      125.000000    201.042268    112.477371    650.951750    
40      500.000000    238.411985    149.755032    837.432112    
41      125.000000    224.235487    137.125145    772.736068    
42      125.000000    211.831051    124.551622    710.037538    
43      125.000000    200.977169    112.408009    650.609204    
44      500.000000    238.355023    149.717251    837.224026    
45      125.000000    224.185645    137.084349    772.523043    
46      125.000000    211.787440    124.510122    709.827927    
47      125.000000    200.939010    112.367344    650.408385    
48      500.000000    238.321634    149.695100    837.102032    
49      125.000000    224.156429    137.060432    772.398157    
50      125.000000    211.761876    124.485793    709.705047    
51      125.000000    200.916641    112.343505    650.290661    
52      500.000000    238.302061    149.682113    837.030515    
53      125.000000    224.139303    137.046411    772.324947    
54      125.000000    211.746890    124.471531    709.633014    
55      125.000000    200.903529    112.329530    650.221651    
56      500.000000    238.290588    149.674501    836.988591    
57      125.000000    224.129265    137.038192    772.282031    
58      125.000000    211.738106    124.463170    709.590788    
59      125.000000    200.895843    112.321339    650.181198    
60      500.000000    238.283863    149.670038    836.964016    
61      125.000000    224.123380    137.033374    772.256875    
62      125.000000    211.732957    124.458270    709.566036    
63      125.000000    200.891338    112.316537    650.157484    
64      500.000000    238.279921    149.667422    836.949610    
65      125.000000    224.119930    137.030549    772.242128    
66      125.000000    211.729939    124.455397    709.551526    
67      125.000000    200.888697    112.313722    650.143584    
68      500.000000    238.277610    149.665889    836.941165    
69      125.000000    224.117908    137.028894    772.233484    
70      125.000000    211.728170    124.453713    709.543021    
71      125.000000    200.887149    112.312072    650.135436    
72      500.000000    238.276255    149.664990    836.936215    
73      125.000000    224.116723    137.027923    772.228417    
74      125.000000    211.727133    124.452726    709.538036    
75      125.000000    200.886241    112.311105    650.130660    
76      500.000000    238.275461    149.664463    836.933314    
77      125.000000    224.116028    137.027354    772.225446    
78      125.000000    211.726525    124.452147    709.535113    
79      125.000000    200.885709    112.310538    650.127860    
80      500.000000    238.274996    149.664154    836.931613    
